Plating_Date,Count_Date,Rpf_conc,Individ,Tech_rep,Dilution_factor,Inoculate_amt_mL,Colony_num,Morphotype_num,CFU,
7/11/17,7/12/17,0,Venus,1,1.00E-03,0.1,30,4,3.00E+05,
7/11/17,7/12/17,0,Venus,2,1.00E-03,0.1,35,5,3.50E+05,
7/11/17,7/12/17,0,Venus,3,1.00E-03,0.1,40,4,4.00E+05,
7/11/17,7/12/17,0,Venus,4,1.00E-03,0.1,33,4,3.30E+05,
7/11/17,7/12/17,0,Venus,5,1.00E-03,0.1,37,3,3.70E+05,
7/11/17,7/12/17,0.5,Venus,1,1.00E-03,0.1,45,4,4.50E+05,
7/11/17,7/12/17,0.5,Venus,2,1.00E-03,0.1,50,5,5.00E+05,
7/11/17,7/12/17,0.5,Venus,3,1.00E-03,0.1,60,6,6.00E+05,
7/11/17,7/12/17,0.5,Venus,4,1.00E-03,0.1,60,7,6.00E+05,
7/11/17,7/12/17,0.5,Venus,5,1.00E-03,0.1,55,7,5.50E+05,
7/11/17,7/12/17,1.25,Venus,1,1.00E-03,0.1,88,7,8.80E+05,
7/11/17,7/12/17,1.25,Venus,2,1.00E-03,0.1,65,6,6.50E+05,
7/11/17,7/12/17,1.25,Venus,3,1.00E-03,0.1,88,8,8.80E+05,
7/11/17,7/12/17,1.25,Venus,4,1.00E-03,0.1,90,10,9.00E+05,
7/11/17,7/12/17,1.25,Venus,5,1.00E-03,0.1,100,9,1.00E+06,
7/11/17,7/12/17,1.7,Venus,1,1.00E-03,0.1,90,7,9.00E+05,
7/11/17,7/12/17,1.7,Venus,2,1.00E-03,0.1,80,8,8.00E+05,
7/11/17,7/12/17,1.7,Venus,3,1.00E-03,0.1,70,5,7.00E+05,
7/11/17,7/12/17,1.7,Venus,4,1.00E-03,0.1,60,6,6.00E+05,
7/11/17,7/12/17,1.7,Venus,5,1.00E-03,0.1,50,5,5.00E+05,
7/11/17,7/12/17,2.5,Venus,1,1.00E-03,0.1,40,5,4.00E+05,
7/11/17,7/12/17,2.5,Venus,2,1.00E-03,0.1,30,6,3.00E+05,
7/11/17,7/12/17,2.5,Venus,3,1.00E-03,0.1,35,7,3.50E+05,
7/11/17,7/12/17,2.5,Venus,4,1.00E-03,0.1,44,6,4.40E+05,
7/11/17,7/12/17,2.5,Venus,5,1.00E-03,0.1,20,6,2.00E+05,
7/11/17,7/12/17,5,Venus,1,1.00E-03,0.1,30,4,3.00E+05,
7/11/17,7/12/17,5,Venus,2,1.00E-03,0.1,35,5,3.50E+05,
7/11/17,7/12/17,5,Venus,3,1.00E-03,0.1,25,4,2.50E+05,
7/11/17,7/12/17,5,Venus,4,1.00E-03,0.1,35,4,3.50E+05,
7/11/17,7/12/17,5,Venus,5,1.00E-03,0.1,40,5,4.00E+05,
7/11/17,7/12/17,0,Nicole,1,1.00E-03,0.1,30,4,3.00E+05,
7/11/17,7/12/17,0,Nicole,2,1.00E-03,0.1,35,5,3.50E+05,
7/11/17,7/12/17,0,Nicole,3,1.00E-03,0.1,40,4,4.00E+05,
7/11/17,7/12/17,0,Nicole,4,1.00E-03,0.1,33,4,3.30E+05,
7/11/17,7/12/17,0,Nicole,5,1.00E-03,0.1,37,3,3.70E+05,
7/11/17,7/12/17,0.5,Nicole,1,1.00E-03,0.1,45,4,4.50E+05,
7/11/17,7/12/17,0.5,Nicole,2,1.00E-03,0.1,50,5,5.00E+05,
7/11/17,7/12/17,0.5,Nicole,3,1.00E-03,0.1,60,6,6.00E+05,
7/11/17,7/12/17,0.5,Nicole,4,1.00E-03,0.1,60,7,6.00E+05,
7/11/17,7/12/17,0.5,Nicole,5,1.00E-03,0.1,55,7,5.50E+05,
7/11/17,7/12/17,1.25,Nicole,1,1.00E-03,0.1,88,7,8.80E+05,
7/11/17,7/12/17,1.25,Nicole,2,1.00E-03,0.1,65,6,6.50E+05,
7/11/17,7/12/17,1.25,Nicole,3,1.00E-03,0.1,88,8,8.80E+05,
7/11/17,7/12/17,1.25,Nicole,4,1.00E-03,0.1,90,10,9.00E+05,
7/11/17,7/12/17,1.25,Nicole,5,1.00E-03,0.1,100,9,1.00E+06,
7/11/17,7/12/17,1.7,Nicole,1,1.00E-03,0.1,90,7,9.00E+05,
7/11/17,7/12/17,1.7,Nicole,2,1.00E-03,0.1,80,8,8.00E+05,
7/11/17,7/12/17,1.7,Nicole,3,1.00E-03,0.1,70,5,7.00E+05,
7/11/17,7/12/17,1.7,Nicole,4,1.00E-03,0.1,60,6,6.00E+05,
7/11/17,7/12/17,1.7,Nicole,5,1.00E-03,0.1,50,5,5.00E+05,
7/11/17,7/12/17,2.5,Nicole,1,1.00E-03,0.1,40,5,4.00E+05,
7/11/17,7/12/17,2.5,Nicole,2,1.00E-03,0.1,30,6,3.00E+05,
7/11/17,7/12/17,2.5,Nicole,3,1.00E-03,0.1,35,7,3.50E+05,
7/11/17,7/12/17,2.5,Nicole,4,1.00E-03,0.1,44,6,4.40E+05,
7/11/17,7/12/17,2.5,Nicole,5,1.00E-03,0.1,20,6,2.00E+05,
7/11/17,7/12/17,5,Nicole,1,1.00E-03,0.1,30,4,3.00E+05,
7/11/17,7/12/17,5,Nicole,2,1.00E-03,0.1,35,5,3.50E+05,
7/11/17,7/12/17,5,Nicole,3,1.00E-03,0.1,25,4,2.50E+05,
7/11/17,7/12/17,5,Nicole,4,1.00E-03,0.1,35,4,3.50E+05,
7/11/17,7/12/17,5,Nicole,5,1.00E-03,0.1,40,5,4.00E+05,
